quoteID,quoteText,subQuotationList,quoteByteSpans,speaker,addressees,quoteType,referringExpression,mentionTextsList,mentionSpansList,mentionEntitiesList
Q25,"Oh, help!","['Oh, help!']","[[3639, 3648]]",Winnie-the-pooh,[],Explicit,said Pooh,[[]],[[]],[[]]
Q26,If only I hadn't----,"[""If only I hadn't----""]","[[3711, 3731]]",Winnie-the-pooh,[],Anaphoric,he said,[[]],[[]],[[]]
Q27,"You see, what I _meant_ to do, what I _meant_ to do----","['You see, what I _meant_ to do,', 'what I _meant_ to do----']","[[3793, 3823], [3922, 3946]]",Winnie-the-pooh,[],Anaphoric,he explained,"[[], []]","[[], []]","[[], []]"
Q28,"Of course, it _was_ rather----","['Of course, it _was_ rather----']","[[3950, 3980]]",Winnie-the-pooh,[],Anaphoric,he admitted,[[]],[[]],[[]]
Q29,"It all comes, I suppose, it all comes of _liking_ honey so much. Oh, help!","['It all comes, I suppose,', 'it all comes of _liking_ honey so much. Oh, help!']","[[4057, 4081], [4199, 4248]]",Winnie-the-pooh,[],Anaphoric,he decided,"[[], []]","[[], []]","[[], []]"
Q30,Was that me?,['Was that me?'],"[[4409, 4421]]",Christopher Robin - External,['_narr'],Explicit,said Christopher Robin,[[]],[[]],[[]]
Q31,_That was you._,['_That was you._'],"[[4496, 4511]]",_narr,['Christopher Robin - External'],Implicit,,[['you']],"[[[4506, 4509]]]",[[['Christopher Robin - External']]]
Q32,"Good morning, Christopher Robin,","['Good morning, Christopher Robin,']","[[4748, 4780]]",Winnie-the-pooh,['Christopher Robin - Story'],Anaphoric,he said,[['Christopher Robin']],"[[[4762, 4779]]]",[[['Christopher Robin - Story']]]
Q33,"Good morning, Winnie-_ther_-Pooh,","['Good morning, Winnie-_ther_-Pooh,']","[[4793, 4826]]",Christopher Robin - Story,['Winnie-the-pooh'],Anaphoric,said you,[['Winnie-_ther_-Pooh']],"[[[4807, 4825]]]",[[['Winnie-the-pooh']]]
Q34,I wonder if you've got such a thing as a balloon about you?,"[""I wonder if you've got such a thing as a balloon about you?""]","[[4840, 4899]]",Winnie-the-pooh,['Christopher Robin - Story'],Implicit,,"[['you', 'you']]","[[[4852, 4855], [4895, 4898]]]","[[['Christopher Robin - Story'], ['Christopher Robin - Story']]]"
Q35,A balloon?,['A balloon?'],"[[4903, 4913]]",Christopher Robin - Story,['Winnie-the-pooh'],Implicit,,[[]],[[]],[[]]
Q36,"Yes, I just said to myself coming along: 'I wonder if Christopher Robin
has such a thing as a balloon about him?' I just said it to myself,
thinking of balloons, and wondering.","[""Yes, I just said to myself coming along: 'I wonder if Christopher Robin\nhas such a thing as a balloon about him?' I just said it to myself,\nthinking of balloons, and wondering.""]","[[4917, 5093]]",Winnie-the-pooh,['Christopher Robin - Story'],Implicit,,"[['Christopher Robin', 'him']]","[[[4971, 4988], [5025, 5028]]]","[[['Christopher Robin - Story'], ['Christopher Robin - Story']]]"
Q37,What do you want a balloon for?,['What do you want a balloon for?'],"[[5097, 5128]]",Christopher Robin - Story,['Winnie-the-pooh'],Anaphoric,you said,[['you']],"[[[5105, 5108]]]",[[['Winnie-the-pooh']]]
Q38,_Honey!_,['_Honey!_'],"[[5259, 5267]]",Winnie-the-pooh,['Christopher Robin - Story'],Explicit,WinniethePooh looked round to see that nobody was listening put his paw to his mouth and said,[[]],[[]],[[]]
Q39,But you don't get honey with balloons!,"[""But you don't get honey with balloons!""]","[[5271, 5309]]",Christopher Robin - Story,['Winnie-the-pooh'],Implicit,,[['you']],"[[[5275, 5278]]]",[[['Winnie-the-pooh']]]
Q40,"_I_ do,","['_I_ do,']","[[5313, 5320]]",Winnie-the-pooh,['Christopher Robin - Story'],Explicit,said Pooh,[[]],[[]],[[]]
Q41,Which one would you like?,['Which one would you like?'],"[[5704, 5729]]",Christopher Robin - Story,['Winnie-the-pooh'],Anaphoric,you asked Pooh,[['you']],"[[[5720, 5723]]]",[[['Winnie-the-pooh']]]
Q42,"It's like this, When you go after honey with a balloon, the
great thing is not to let the bees know you're coming. Now, if you have
a green balloon, they might think you were only part of the tree, and
not notice you, and, if you have a blue balloon, they might think you
were only part of the sky, and not notice you, and the question is:
Which is most likely?","[""It's like this,"", ""When you go after honey with a balloon, the\ngreat thing is not to let the bees know you're coming. Now, if you have\na green balloon, they might think you were only part of the tree, and\nnot notice you, and, if you have a blue balloon, they might think you\nwere only part of the sky, and not notice you, and the question is:\nWhich is most likely?""]","[[5811, 5826], [5838, 6183]]",Winnie-the-pooh,['Christopher Robin - Story'],Anaphoric,he said,"[[], []]","[[], []]","[[], []]"
Q43,Wouldn't they notice _you_ underneath the balloon?,"[""Wouldn't they notice _you_ underneath the balloon?""]","[[6187, 6237]]",Christopher Robin - Story,['Winnie-the-pooh'],Anaphoric,you asked,[['you']],"[[[6209, 6212]]]",[[['Winnie-the-pooh']]]
Q44,"They might or they might not, You never can
tell with bees.","['They might or they might not,', 'You never can\ntell with bees.']","[[6252, 6281], [6306, 6335]]",Winnie-the-pooh,['Christopher Robin - Story'],Explicit,said WinniethePooh,"[[], []]","[[], []]","[[], []]"
Q45,"I shall try to look
like a small black cloud. That will deceive them.",['I shall try to look\nlike a small black cloud. That will deceive them.'],"[[6372, 6441]]",Winnie-the-pooh,['Christopher Robin - Story'],Anaphoric,He thought for a moment and said,[[]],[[]],[[]]
Q46,"Then you had better have the blue balloon,","['Then you had better have the blue balloon,']","[[6445, 6487]]",Christopher Robin - Story,['Winnie-the-pooh'],Anaphoric,you said,[['you']],"[[[6450, 6453]]]",[[['Winnie-the-pooh']]]
Q47,Hooray!,['Hooray!'],"[[7016, 7023]]",Christopher Robin - Story,['Winnie-the-pooh'],Anaphoric,you shouted,[[]],[[]],[[]]
Q48,"Isn't that fine? What do I look
like?","[""Isn't that fine?"", 'What do I look\nlike?']","[[7040, 7056], [7096, 7116]]",Winnie-the-pooh,['Christopher Robin - Story'],Explicit,shouted WinniethePooh down to you,"[[], []]","[[], []]","[[], []]"
Q49,"You look like a Bear holding on to a balloon,","['You look like a Bear holding on to a balloon,']","[[7120, 7165]]",Christopher Robin - Story,['Winnie-the-pooh'],Anaphoric,you said,[['You']],"[[[7120, 7123]]]",[[['Winnie-the-pooh']]]
Q50,"Not, --not like a small black cloud in a blue
sky?","['Not,', '--not like a small black cloud in a blue\nsky?']","[[7179, 7183], [7207, 7252]]",Winnie-the-pooh,['Christopher Robin - Story'],Explicit,said Pooh,"[[], []]","[[], []]","[[], []]"
Q51,Not very much.,['Not very much.'],"[[7256, 7270]]",Christopher Robin - Story,['Winnie-the-pooh'],Implicit,,[[]],[[]],[[]]
Q52,"Ah, well, perhaps from up here it looks different. And, as I say, you
never can tell with bees.","['Ah, well, perhaps from up here it looks different. And, as I say, you\nnever can tell with bees.']","[[7274, 7369]]",Winnie-the-pooh,['Christopher Robin - Story'],Implicit,,[[]],[[]],[[]]
Q53,Christopher Robin!,['Christopher Robin!'],"[[7578, 7596]]",Winnie-the-pooh,['Christopher Robin - Story'],Anaphoric,he said,[[]],[[]],[[]]
Q54,Hallo!,['Hallo!'],"[[7627, 7633]]",Christopher Robin - Story,['Winnie-the-pooh'],Implicit,,[[]],[[]],[[]]
Q55,I think the bees _suspect_ something!,['I think the bees _suspect_ something!'],"[[7637, 7674]]",Winnie-the-pooh,['Christopher Robin - Story'],Implicit,,[[]],[[]],[[]]
Q56,What sort of thing?,['What sort of thing?'],"[[7678, 7697]]",Christopher Robin - Story,['Winnie-the-pooh'],Implicit,,[[]],[[]],[[]]
Q57,I don't know. But something tells me that they're _suspicious_!,"[""I don't know. But something tells me that they're _suspicious_!""]","[[7701, 7764]]",Winnie-the-pooh,['Christopher Robin - Story'],Implicit,,[[]],[[]],[[]]
Q58,Perhaps they think that you're after their honey.,"[""Perhaps they think that you're after their honey.""]","[[7768, 7817]]",Christopher Robin - Story,['Winnie-the-pooh'],Implicit,,[['you']],"[[[7792, 7795]]]",[[['Winnie-the-pooh']]]
Q59,It may be that. You never can tell with bees.,['It may be that. You never can tell with bees.'],"[[7821, 7866]]",Winnie-the-pooh,['Christopher Robin - Story'],Implicit,,[[]],[[]],[[]]
Q60,Christopher Robin!,['Christopher Robin!'],"[[7943, 7961]]",Winnie-the-pooh,['Christopher Robin - Story'],Implicit,,[[]],[[]],[[]]
Q61,Yes?,['Yes?'],"[[7965, 7969]]",Christopher Robin - Story,['Winnie-the-pooh'],Implicit,,[[]],[[]],[[]]
Q62,Have you an umbrella in your house?,['Have you an umbrella in your house?'],"[[7973, 8008]]",Winnie-the-pooh,['Christopher Robin - Story'],Implicit,,"[['you', 'your']]","[[[7978, 7981], [7997, 8001]]]","[[['Christopher Robin - Story'], ['Christopher Robin - Story']]]"
Q63,I think so.,['I think so.'],"[[8012, 8023]]",Christopher Robin - Story,['Winnie-the-pooh'],Implicit,,[[]],[[]],[[]]
Q64,"I wish you would bring it out here, and walk up and down with it, and
look up at me every now and then, and say 'Tut-tut, it looks like rain.'
I think, if you did that, it would help the deception which we are
practising on these bees.","[""I wish you would bring it out here, and walk up and down with it, and\nlook up at me every now and then, and say 'Tut-tut, it looks like rain.'\nI think, if you did that, it would help the deception which we are\npractising on these bees.""]","[[8027, 8262]]",Winnie-the-pooh,['Christopher Robin - Story'],Implicit,,"[['you', 'you', 'we']]","[[[8034, 8037], [8182, 8185], [8230, 8232]]]","[[['Christopher Robin - Story'], ['Christopher Robin - Story'], ['Winnie-the-pooh', 'Christopher Robin - Story']]]"
Q65,Silly old Bear!,['Silly old Bear!'],"[[8297, 8312]]",Christopher Robin - Story,['Christopher Robin - Story'],Anaphoric,you laughed to yourself,[['Silly old Bear']],"[[[8297, 8311]]]",[[['Winnie-the-pooh']]]
Q66,"Oh, there you are! I was beginning to get anxious. I have discovered
that the bees are now definitely Suspicious.","['Oh, there you are!', 'I was beginning to get anxious. I have discovered\nthat the bees are now definitely Suspicious.']","[[8414, 8432], [8501, 8595]]",Winnie-the-pooh,['Christopher Robin - Story'],Explicit,called down WinniethePooh,"[['you'], []]","[[[8424, 8427]], []]","[[['Christopher Robin - Story']], []]"
Q67,Shall I put my umbrella up?,['Shall I put my umbrella up?'],"[[8599, 8626]]",Christopher Robin - Story,['Winnie-the-pooh'],Anaphoric,you said,[[]],[[]],[[]]
Q68,"Yes, but wait a moment. We must be practical. The important bee to
deceive is the Queen Bee. Can you see which is the Queen Bee from down
there?","['Yes, but wait a moment. We must be practical. The important bee to\ndeceive is the Queen Bee. Can you see which is the Queen Bee from down\nthere?']","[[8640, 8784]]",Winnie-the-pooh,['Christopher Robin - Story'],Implicit,,"[['We', 'you']]","[[[8664, 8666], [8737, 8740]]]","[[['Winnie-the-pooh', 'Christopher Robin - Story'], ['Christopher Robin - Story']]]"
Q69,No.,['No.'],"[[8788, 8791]]",Christopher Robin - Story,['Winnie-the-pooh'],Implicit,,[[]],[[]],[[]]
Q70,"A pity. Well, now, if you walk up and down with your umbrella, saying,
'Tut-tut, it looks like rain,' I shall do what I can by singing a little
Cloud Song, such as a cloud might sing.... Go!","[""A pity. Well, now, if you walk up and down with your umbrella, saying,\n'Tut-tut, it looks like rain,' I shall do what I can by singing a little\nCloud Song, such as a cloud might sing.... Go!""]","[[8795, 8985]]",Winnie-the-pooh,['Christopher Robin - Story'],Implicit,,"[['you', 'your']]","[[[8817, 8820], [8843, 8847]]]","[[['Christopher Robin - Story'], ['Christopher Robin - Story']]]"
Q71,"How sweet to be a Cloud
      Floating in the Blue!
    Every little cloud
    _Always_ sings aloud. ""How sweet to be a Cloud
      Floating in the Blue!""
    It makes him very proud
    To be a little cloud.","['How sweet to be a Cloud\n      Floating in the Blue!\n    Every little cloud\n    _Always_ sings aloud.', '""How sweet to be a Cloud\n      Floating in the Blue!""\n    It makes him very proud\n    To be a little cloud.']","[[9087, 9189], [9195, 9302]]",Winnie-the-pooh,['Christopher Robin - Story'],Explicit,WinniethePooh sang this song,"[[], []]","[[], []]","[[], []]"
Q72,"Christopher--_ow!_--Robin,","['Christopher--_ow!_--Robin,']","[[9553, 9579]]",Winnie-the-pooh,['Christopher Robin - Story'],Anaphoric,called out the cloud,"[['Christopher', 'Robin']]","[[[9553, 9564], [9573, 9578]]]","[[['Christopher Robin - Story'], ['Christopher Robin - Story']]]"
Q73,Yes?,['Yes?'],"[[9605, 9609]]",Christopher Robin - Story,['Winnie-the-pooh'],Implicit,,[[]],[[]],[[]]
Q74,"I have just been thinking, and I have come to a very important
decision. _These are the wrong sort of bees._","['I have just been thinking, and I have come to a very important\ndecision. _These are the wrong sort of bees._']","[[9613, 9721]]",Winnie-the-pooh,['Christopher Robin - Story'],Implicit,,[[]],[[]],[[]]
Q75,Are they?,['Are they?'],"[[9725, 9734]]",Christopher Robin - Story,['Winnie-the-pooh'],Implicit,,[[]],[[]],[[]]
Q76,"Quite the wrong sort. So I should think they would make the wrong sort
of honey, shouldn't you?","[""Quite the wrong sort. So I should think they would make the wrong sort\nof honey, shouldn't you?""]","[[9738, 9833]]",Winnie-the-pooh,['Christopher Robin - Story'],Implicit,,[['you']],"[[[9829, 9832]]]",[[['Christopher Robin - Story']]]
Q77,Would they?,['Would they?'],"[[9837, 9848]]",Christopher Robin - Story,['Winnie-the-pooh'],Implicit,,[[]],[[]],[[]]
Q78,Yes. So I think I shall come down.,['Yes. So I think I shall come down.'],"[[9852, 9886]]",Winnie-the-pooh,['Christopher Robin - Story'],Implicit,,[[]],[[]],[[]]
Q79,How?,['How?'],"[[9890, 9894]]",Christopher Robin - Story,['Winnie-the-pooh'],Anaphoric,asked you,[[]],[[]],[[]]
Q80,"Christopher Robin, you must shoot the balloon with your gun. Have you
got your gun?","['Christopher Robin, you must shoot the balloon with your gun. Have you\ngot your gun?']","[[10090, 10173]]",Winnie-the-pooh,['Christopher Robin - Story'],Anaphoric,he said,"[['Christopher Robin', 'you', 'your', 'you', 'your']]","[[[10090, 10107], [10109, 10112], [10141, 10145], [10156, 10159], [10164, 10168]]]","[[['Christopher Robin - Story'], ['Christopher Robin - Story'], ['Christopher Robin - Story'], ['Christopher Robin - Story'], ['Christopher Robin - Story']]]"
Q81,"Of course I have, But if I do that, it will spoil the
balloon,","['Of course I have,', 'But if I do that, it will spoil the\nballoon,']","[[10177, 10194], [10207, 10251]]",Christopher Robin - Story,['Winnie-the-pooh'],Anaphoric,you said,"[[], []]","[[], []]","[[], []]"
Q82,"But if you _don't_, I shall have to let go, and that would
spoil _me_. _Ow!_","[""But if you _don't_,"", 'I shall have to let go, and that would\nspoil _me_.', '_Ow!_']","[[10265, 10284], [10298, 10348], [10455, 10460]]",Winnie-the-pooh,['Christopher Robin - Story'],Explicit,said Pooh,"[['you'], [], []]","[[[10272, 10275]], [], []]","[[['Christopher Robin - Story']], [], []]"
Q83,Did I miss?,['Did I miss?'],"[[10475, 10486]]",Christopher Robin - Story,['Winnie-the-pooh'],Anaphoric,you asked,[[]],[[]],[[]]
Q84,"You didn't exactly _miss_, but you missed the _balloon_.","[""You didn't exactly _miss_,"", 'but you missed the _balloon_.']","[[10501, 10527], [10541, 10570]]",Winnie-the-pooh,['Christopher Robin - Story'],Explicit,said Pooh,"[['You'], ['you']]","[[[10501, 10504]], [[10545, 10548]]]","[[['Christopher Robin - Story']], [['Christopher Robin - Story']]]"
Q85,"I'm so sorry,","[""I'm so sorry,""]","[[10574, 10587]]",Christopher Robin - Story,['Winnie-the-pooh'],Anaphoric,you said,[[]],[[]],[[]]
Q86,Is that the end of the story?,['Is that the end of the story?'],"[[11088, 11117]]",Christopher Robin - External,['_narr'],Explicit,asked Christopher Robin,[[]],[[]],[[]]
Q87,That's the end of that one. There are others.,"[""That's the end of that one. There are others.""]","[[11146, 11191]]",_narr,['Christopher Robin - External'],Implicit,,[[]],[[]],[[]]
Q88,About Pooh and Me?,['About Pooh and Me?'],"[[11195, 11213]]",Christopher Robin - External,['_narr'],Implicit,,[['Pooh ']],"[[[11201, 11206]]]",[[['Winnie-the-pooh']]]
Q89,And Piglet and Rabbit and all of you. Don't you remember?,"[""And Piglet and Rabbit and all of you. Don't you remember?""]","[[11217, 11274]]",_narr,['Christopher Robin - External'],Implicit,,"[['Piglet ', 'Rabbit ', 'you', 'you']]","[[[11221, 11228], [11232, 11239], [11250, 11253], [11261, 11264]]]","[[['Piglet'], ['Rabbit'], ['Winnie-the-pooh', 'Piglet', 'Rabbit', 'Eeyore', 'Christopher Robin - Story'], ['Christopher Robin - External']]]"
Q90,"I do remember, and then when I try to remember, I forget.","['I do remember, and then when I try to remember, I forget.']","[[11278, 11335]]",Christopher Robin - External,['_narr'],Implicit,,[[]],[[]],[[]]
Q91,That day when Pooh and Piglet tried to catch the Heffalump----,['That day when Pooh and Piglet tried to catch the Heffalump----'],"[[11339, 11401]]",_narr,['Christopher Robin - External'],Implicit,,"[['Pooh ', 'Piglet ', 'Heffalump']]","[[[11353, 11358], [11362, 11369], [11388, 11397]]]","[[['Winnie-the-pooh'], ['Piglet'], ['Heffalump']]]"
Q92,"They didn't catch it, did they?","[""They didn't catch it, did they?""]","[[11405, 11436]]",Christopher Robin - External,['_narr'],Implicit,,[['they']],"[[[11431, 11435]]]","[[['Piglet', 'Winnie-the-pooh']]]"
Q93,No.,['No.'],"[[11440, 11443]]",_narr,['Christopher Robin - External'],Implicit,,[[]],[[]],[[]]
Q94,"Pooh couldn't, because he hasn't any brain. Did _I_ catch it?","[""Pooh couldn't, because he hasn't any brain. Did _I_ catch it?""]","[[11447, 11508]]",Christopher Robin - External,['_narr'],Implicit,,"[['Pooh ', 'Pooh', 'he']]","[[[11447, 11452], [11447, 11451], [11470, 11472]]]","[[['Winnie-the-pooh'], ['Winnie-the-pooh'], ['Winnie-the-pooh']]]"
Q95,"Well, that comes into the story.","['Well, that comes into the story.']","[[11512, 11544]]",_narr,['Christopher Robin - External'],Implicit,,[[]],[[]],[[]]
Q96,"I do remember, only Pooh doesn't very well, so that's why he
likes having it told to him again. Because then it's a real story and
not just a remembering.","['I do remember,', ""only Pooh doesn't very well, so that's why he\nlikes having it told to him again. Because then it's a real story and\nnot just a remembering.""]","[[11575, 11589], [11601, 11740]]",Christopher Robin - External,['_narr'],Anaphoric,he said,"[[], ['Pooh', 'he', 'him']]","[[], [[11606, 11610], [11644, 11646], [11671, 11674]]]","[[], [['Winnie-the-pooh'], ['Winnie-the-pooh'], ['Winnie-the-pooh']]]"
Q97,"That's just how _I_ feel,","[""That's just how _I_ feel,""]","[[11744, 11769]]",_narr,['Christopher Robin - External'],Anaphoric,I said,[[]],[[]],[[]]
Q98,Coming to see me have my bath?,['Coming to see me have my bath?'],"[[11934, 11964]]",Christopher Robin - External,['_narr'],Anaphoric,he turned and said,[[]],[[]],[[]]
Q99,"I might,","['I might,']","[[11968, 11976]]",_narr,['Christopher Robin - External'],Anaphoric,I said,[[]],[[]],[[]]
Q100,"I didn't hurt him when I shot him, did I?","[""I didn't hurt him when I shot him, did I?""]","[[11988, 12029]]",Christopher Robin - External,['_narr'],Implicit,,"[['him', 'him']]","[[[12002, 12005], [12018, 12021]]]","[[['Winnie-the-pooh'], ['Winnie-the-pooh']]]"
Q101,Not a bit.,['Not a bit.'],"[[12033, 12043]]",_narr,['Christopher Robin - External'],Implicit,,[[]],[[]],[[]]
Q102,"_Tra-la-la, tra-la-la,_
      _Tra-la-la, tra-la-la,_
    _Rum-tum-tiddle-um-tum._
      _Tiddle-iddle, tiddle-iddle,_
      _Tiddle-iddle, tiddle-iddle,_
    _Rum-tum-tum-tiddle-um._","['_Tra-la-la, tra-la-la,_\n      _Tra-la-la, tra-la-la,_\n    _Rum-tum-tiddle-um-tum._\n      _Tiddle-iddle, tiddle-iddle,_\n      _Tiddle-iddle, tiddle-iddle,_\n    _Rum-tum-tum-tiddle-um._']","[[12878, 13061]]",Winnie-the-pooh,['Winnie-the-pooh'],Anaphoric,he was humming it right through properly It went like this,[[]],[[]],[[]]
Q103,"Aha! If I know anything about
anything, that hole means Rabbit, and Rabbit means Company, and Company means Food and Listening-to-Me-Humming and such
like. _Rum-tum-tum-tiddle-um._","['Aha!', 'If I know anything about\nanything, that hole means Rabbit,', 'and Rabbit means Company,', 'and Company means Food and Listening-to-Me-Humming and such\nlike. _Rum-tum-tum-tiddle-um._']","[[13290, 13294], [13335, 13393], [13405, 13430], [13442, 13532]]",Winnie-the-pooh,[],Explicit,said Pooh,"[[], [], [], []]","[[], [], [], []]","[[], [], [], []]"
Q104,Is anybody at home?,['Is anybody at home?'],"[[13598, 13617]]",Winnie-the-pooh,[],Anaphoric,he bent down put his head into the hole and called out,[[]],[[]],[[]]
Q105,"What I said was, 'Is anybody at home?'","[""What I said was, 'Is anybody at home?'""]","[[13697, 13735]]",Winnie-the-pooh,[],Explicit,,[[]],[[]],[[]]
Q106,"No! You needn't shout so loud. I heard
you quite well the first time.","['No!', ""You needn't shout so loud. I heard\nyou quite well the first time.""]","[[13768, 13771], [13804, 13869]]",Rabbit,['Winnie-the-pooh'],Anaphoric,said a voice,"[[], ['You', 'you']]","[[], [[13804, 13807], [13839, 13842]]]","[[], [['Winnie-the-pooh'], ['Winnie-the-pooh']]]"
Q107,Bother! Isn't there anybody here at all?,"['Bother!', ""Isn't there anybody here at all?""]","[[13873, 13880], [13894, 13926]]",Winnie-the-pooh,['Rabbit'],Explicit,said Pooh,"[[], []]","[[], []]","[[], []]"
Q108,Nobody.,['Nobody.'],"[[13930, 13937]]",Rabbit,['Winnie-the-pooh'],Implicit,,[[]],[[]],[[]]
Q109,"There must be somebody there, because
somebody must have _said_ 'Nobody.'","[""There must be somebody there, because\nsomebody must have _said_ 'Nobody.'""]","[[14041, 14114]]",Winnie-the-pooh,['Winnie-the-pooh'],Anaphoric,he thought to himself,[[]],[[]],[[]]
